Delivery Date,Hour Ending,Repeated Hour Flag,Settlement Point,Settlement Point Price
02/02/2020,02:00,N,HB_PAN,2.03
02/02/2020,02:00,N,HB_SOUTH,8.73
02/02/2020,02:00,N,HB_WEST,4.28
02/02/2020,02:00,N,LZ_AEN,9.03
02/02/2020,02:00,N,LZ_CPS,9.20
02/02/2020,02:00,N,LZ_HOUSTON,8.29
02/02/2020,02:00,N,LZ_LCRA,8.72
02/02/2020,02:00,N,LZ_NORTH,8.81
02/02/2020,02:00,N,LZ_RAYBN,10.54
02/02/2020,02:00,N,LZ_SOUTH,9.29
02/02/2020,02:00,N,LZ_WEST,18.99
02/02/2020,03:00,N,HB_BUSAVG,7.54
02/02/2020,03:00,N,HB_HOUSTON,7.47
02/02/2020,03:00,N,HB_HUBAVG,6.91
02/02/2020,03:00,N,HB_NORTH,8.20
02/02/2020,03:00,N,HB_PAN,2.03
02/02/2020,03:00,N,HB_SOUTH,7.83
02/02/2020,03:00,N,HB_WEST,4.17
02/02/2020,03:00,N,LZ_AEN,8.21
02/02/2020,03:00,N,LZ_CPS,8.29
02/02/2020,03:00,N,LZ_HOUSTON,7.43
02/02/2020,03:00,N,LZ_LCRA,7.91
02/02/2020,03:00,N,LZ_NORTH,8.20
02/02/2020,03:00,N,LZ_RAYBN,9.83
02/02/2020,03:00,N,LZ_SOUTH,8.61
02/02/2020,03:00,N,LZ_WEST,14.15
02/02/2020,04:00,N,HB_BUSAVG,8.15
02/02/2020,04:00,N,HB_HOUSTON,8.23
02/02/2020,04:00,N,HB_HUBAVG,7.61
02/02/2020,04:00,N,HB_NORTH,8.65
02/02/2020,04:00,N,HB_PAN,2.35
02/02/2020,04:00,N,HB_SOUTH,8.48
02/02/2020,04:00,N,HB_WEST,5.07
02/02/2020,04:00,N,LZ_AEN,8.99
02/02/2020,04:00,N,LZ_CPS,9.10
02/02/2020,04:00,N,LZ_HOUSTON,8.22
02/02/2020,04:00,N,LZ_LCRA,8.57
02/02/2020,04:00,N,LZ_NORTH,8.61
02/02/2020,04:00,N,LZ_RAYBN,9.98
